YEAR,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,TOTAL_CRIMES,MURDER_PERCENT,RAPE_PERCENT,ROBBERY_PERCENT,AGG. ASSAULT_PERCENT,B & E_PERCENT,LARCENY THEFT_PERCENT,M/V THEFT_PERCENT
1975,433,1276,14095,13192,57883,133834,21181,241894,0.179004026557087,0.5275037826485982,5.826932458018801,5.453628448824692,23.929076372295302,55.32754016221981,8.756314749435704
1976,352,1323,12234,12247,56311,133912,17758,234137,0.15033933124623616,0.5650537932919616,5.225145961552425,5.230698266399587,24.050449096042062,57.19386513024426,7.584448421223472
1977,333,1432,12083,14791,57904,131043,17726,235312,0.14151424491738626,0.6085537499150064,5.134884748759094,6.2856972870061885,24.60732984293194,55.68904263275991,7.5329774937104785
1978,337,1470,12821,15635,58875,133371,17586,240095,0.14036110706178803,0.6122576480143277,5.3399695953685,6.512005664424499,24.52154355567588,55.549261750557065,7.324600678897935
1979,406,1616,13738,17283,62605,144634,20208,260490,0.15586010979308226,0.6203693040039925,5.27390686782602,6.634803639295174,24.033552151714076,55.52382049214941,7.7576874352182426
1980,399,1678,16455,17115,71094,151338,18874,276953,0.14406776601083937,0.605878975855109,5.94144132758988,6.179748910464952,25.670059540788507,54.643928753254166,6.814874726036548
1981,421,1654,18085,17619,70722,151796,18481,278778,0.15101622079217156,0.593303632280883,6.487240743530695,6.320082646406819,25.368572842907263,54.45049465883247,6.629289255249697
1982,429,1592,15366,18787,60498,142079,16710,255461,0.16793169994637147,0.623187100966488,6.015008161715487,7.354155820262193,23.681892735094593,55.61670861697089,6.54111586504398
1983,367,1407,14939,17957,52662,126862,15680,229874,0.15965267929387403,0.6120744407806016,6.4987775912021375,7.81167074136266,22.90907192635966,55.18762452473964,6.821128096261431
1984,354,1639,13097,19344,51475,123051,17273,226233,0.15647584569890335,0.7244743251426626,5.789164268696433,8.550476720902786,22.753090839974714,54.3912691782366,7.635048821347902
1985,350,1711,13275,21411,53155,125646,20265,235813,0.14842269086097884,0.7255749258946708,5.629460631941411,9.079652097212621,22.54116609347237,53.28204975976727,8.593673800850674
1986,397,1947,13570,21192,55578,132278,24330,249292,0.15925099882868282,0.7810118254897871,5.443415753413667,8.500874476517497,22.294337563981195,53.06147008327584,9.759639298493333
1987,444,1892,13362,19574,53209,136272,26417,251170,0.17677270374646656,0.7532746745232313,5.319902854640284,7.793128160210216,21.184456742445356,54.25488712823984,10.51757773619461
1988,452,1721,13990,21250,54676,140893,31191,264173,0.17109999886438054,0.6514670310743338,5.295772088744875,8.043971185548864,20.697043225462103,53.333610929201704,11.807035541103748
