JURISDICTION,Total Crimes (All Years),Avg Crime Rate per 100k,Avg Population,PRIORITY_INDEX
Baltimore City,2842811,8673.347826086956,703032.3913043478,1.0
Prince George's County,2132933,6067.378260869566,782362.195652174,0.9375
Baltimore County,1688857,5076.184782608696,738704.9565217391,0.8958333333333333
Anne Arundel County,871803,4201.091304347827,466645.10869565216,0.8125
Wicomico County,185137,5000.923913043478,81965.17391304347,0.75
Howard County,331924,3735.8086956521743,218606.34782608695,0.75
Montgomery County,1208032,3414.7391304347825,820118.0869565217,0.7291666666666667
Worcester County,121286,6799.223913043478,41527.67391304348,0.7083333333333334
Charles County,184292,3675.3956521739133,114610.60869565218,0.6458333333333333
Cecil County,131204,3525.9217391304346,81941.67391304347,0.5833333333333333
Harford County,244447,2780.9065217391303,202867.26086956522,0.5416666666666666
Dorchester County,59224,4142.184782608696,31123.0,0.5208333333333334
Frederick County,202392,2657.863043478261,179943.76086956522,0.5
Allegany County,108012,3108.1391304347826,75763.41304347826,0.45833333333333337
Washington County,156743,2641.895652173913,130599.89130434782,0.4166666666666667
St. Mary's County,105016,2804.271739130435,84484.43478260869,0.39583333333333337
Talbot County,45567,3150.0086956521736,32251.521739130436,0.3958333333333333
Carroll County,127998,2101.145652173913,137554.39130434784,0.2916666666666667
Somerset County,31770,2990.858695652174,23322.17391304348,0.29166666666666663
Caroline County,36864,2785.5021739130434,28570.391304347828,0.2708333333333333
Calvert County,64229,2314.4347826086955,64829.15217391304,0.22916666666666666
Queen Anne's County,40488,2461.371739130435,37769.15217391304,0.20833333333333334
Kent County,20295,2405.391304347826,18595.782608695652,0.10416666666666666
Garrett County,26286,2010.963043478261,28518.565217391304,0.0625
