YEAR,POPULATION,GRAND TOTAL,"CRIME RATE PER 100,000",Smoothed,YOY_%CHANGE
1975,4098000,241894,5902.7330405075645,,
1976,4144000,234137,5650.024131274131,,-4.281218674454967
1977,4139000,235312,5685.237980188451,5745.998383990049,0.6232513011653174
1978,4143000,240095,5795.196717354574,5710.152942939051,1.9341096634705401
1979,4149000,260490,6278.380332610267,5919.605010051097,8.33765683585388
1980,4192211,276953,6606.370719412739,6226.649256459194,5.224124207622016
1981,4261000,278778,6542.548697488852,6475.766583170619,-0.966067825051764
1982,4265000,255461,5989.706916764361,6379.542111221985,-8.449945216864506
1983,4304000,229874,5340.938661710037,5957.731425321083,-10.831385643235924
1984,4349000,226233,5201.954472292481,5510.86668358896,-2.6022427558278105
1985,4392000,235813,5369.148451730419,5304.013861910979,3.2140607982725333
1986,4463000,249292,5585.749495854806,5385.617473292568,4.034178717010128
1987,4535000,251170,5538.478500551268,5497.792149378831,-0.8462784687823577
1988,4644000,264173,5688.4797588285965,5604.235918411557,2.708347757644969
1989,4694000,260307,5545.526203664252,5590.828154348038,-2.513036192885787
1990,4781468,278061,5815.389750595424,5683.131904362758,4.866328947338805
1991,4860000,300993,6193.271604938272,5851.395853065983,6.497962656830647
1992,4908000,304802,6210.309698451508,6072.990351328401,0.2751065123585139
1993,4965000,302359,6089.8086606243705,6164.46332133805,-1.940338625257021
1994,5005640,305318,6099.479786800489,6133.199381958789,0.15880837502579848
1995,5042000,316048,6268.306227687426,6152.5315583707625,2.7678826193060724
1996,5072000,308127,6075.059148264984,6147.615054250967,-3.0829233991290894
1997,5093990,286845,5631.047567820117,5991.470981257509,-7.3087614393297695
1998,5135000,273585,5327.848101265823,5677.984939116975,-5.384423819947736
1999,5172000,260929,5045.030935808198,5334.64220163138,-5.308281318876784
2000,5296486,255243,4819.100815144229,5063.99328407275,-4.478270273039964
2001,5375156,265502,4939.428734719513,4934.520161890647,2.4968956697720035
2002,5458137,261145,4784.507974057815,4847.679174640519,-3.1364104835191142
2003,5508909,247432,4491.488242045748,4738.474983607692,-6.124344103946644
2004,5558058,240513,4327.284817826659,4534.427011310074,-3.6558800862918295
2005,5600388,237203,4235.474399273765,4351.415819715391,-2.1216634083033314
2006,5615727,232926,4147.744361504753,4236.834526201726,-2.071315500904791
2007,5618344,228099,4059.897364775101,4147.70537518454,-2.1179462636357504
2008,5633597,232823,4132.7592300265715,4113.466985435475,1.7946725915694905
2009,5699478,215197,3775.7317424507996,3989.4627790841573,-8.638961713079919
2010,5773550,204362,3539.6246676654746,3816.038546714282,-6.2532799173934395
2011,5828289,194932,3344.5836333785096,3553.3133478315945,-5.510217963748188
2012,5884563,189144,3214.240377747676,3366.1495595972196,-3.8971444555915613
2013,5928814,184450,3111.077527478514,3223.300512868233,-3.209556167092009
2014,5976407,176418,2951.907391849317,3092.4084323585025,-5.116238159394326
2015,6006401,171588,2856.7523213984546,2973.245746908762,-3.223511371447507
2016,6016537,167862,2790.0102667032547,2866.223326650342,-2.3362912561676996
2017,6052177,166361,2748.7794887690825,2798.5140256235973,-1.4778002226813136
2018,6042718,151350,2504.66760156605,2681.152452346129,-8.880737367272307
2019,6045680,145053,2399.283455293697,2550.9101818762765,-4.207510258305791
2020,6055802,122958,2030.416450207586,2311.4558356891107,-15.374048625736803
